38 bell = 1e+06 tail = 25628 tail/bell = 0.025628
37 bell = 1e+06 tail = 6151 tail/bell = 0.006151
36 bell = 1e+06 tail = 3114 tail/bell = 0.003114
35 bell = 1e+06 tail = 5026 tail/bell = 0.005026
34 bell = 1e+06 tail = 7393 tail/bell = 0.007393
33 bell = 1e+06 tail = 26666 tail/bell = 0.026666
32 bell = 1e+06 tail = 38293 tail/bell = 0.038293
31 bell = 1e+06 tail = 8599 tail/bell = 0.008599
30 bell = 1e+06 tail = 4739 tail/bell = 0.004739
29 bell = 1e+06 tail = 2289 tail/bell = 0.002289
28 bell = 1e+06 tail = 3574 tail/bell = 0.003574
27 bell = 1e+06 tail = 15804 tail/bell = 0.015804
26 bell = 1e+06 tail = 23327 tail/bell = 0.023327
25 bell = 1e+06 tail = 4018 tail/bell = 0.004018
24 bell = 1e+06 tail = 6239 tail/bell = 0.006239
23 bell = 1e+06 tail = 26330 tail/bell = 0.02633
22 bell = 1e+06 tail = 39347 tail/bell = 0.039347
21 bell = 1e+06 tail = 120761 tail/bell = 0.120761
20 bell = 1e+06 tail = 86950 tail/bell = 0.08695
19 bell = 1e+06 tail = 39958 tail/bell = 0.039958
18 bell = 1e+06 tail = 64248 tail/bell = 0.064248
17 bell = 1e+06 tail = 88700 tail/bell = 0.0887
16 bell = 1e+06 tail = 59008 tail/bell = 0.059008
15 bell = 1e+06 tail = 182878 tail/bell = 0.182878
14 bell = 1e+06 tail = 278964 tail/bell = 0.278964
13 bell = 1e+06 tail = 344612 tail/bell = 0.344612
12 bell = 1e+06 tail = 497477 tail/bell = 0.497477
11 bell = 1e+06 tail = 576170 tail/bell = 0.57617
10 bell = 1e+06 tail = 496959 tail/bell = 0.496959
9 bell = 1e+06 tail = 833901 tail/bell = 0.833901
8 bell = 1e+06 tail = 785478 tail/bell = 0.785478
7 bell = 1e+06 tail = 856483 tail/bell = 0.856483
6 bell = 1e+06 tail = 799396 tail/bell = 0.799396
