20 bell = 1e+06 tail = 269421 tail/bell = 0.269421
19 bell = 1e+06 tail = 174512 tail/bell = 0.174512
18 bell = 1e+06 tail = 99229 tail/bell = 0.099229
17 bell = 1e+06 tail = 138223 tail/bell = 0.138223
16 bell = 1e+06 tail = 68568 tail/bell = 0.068568
15 bell = 1e+06 tail = 26371 tail/bell = 0.026371
14 bell = 1e+06 tail = 41412 tail/bell = 0.041412
13 bell = 1e+06 tail = 70509 tail/bell = 0.070509
12 bell = 1e+06 tail = 110413 tail/bell = 0.110413
11 bell = 1e+06 tail = 161513 tail/bell = 0.161513
10 bell = 1e+06 tail = 87420 tail/bell = 0.08742
9 bell = 1e+06 tail = 150541 tail/bell = 0.150541
8 bell = 1e+06 tail = 267555 tail/bell = 0.267555
7 bell = 1e+06 tail = 428694 tail/bell = 0.428694
6 bell = 1e+06 tail = 334305 tail/bell = 0.334305
