combineCC 72	D = 0.0684, p-value = 0.0001485	W = 0.98, p-value = 1.322e-10
combineCN 74	D = 0.0521, p-value = 0.02371	W = 0.9915, p-value = 0.0001177
combineNC 80	D = 0.043, p-value = 0.001747	W = 0.9889, p-value = 5.928e-11
combineNN 79	D = 0.0409, p-value = 0.0001453	W = 0.995, p-value = 2.724e-08
