combineCC 72	W = 0.98, p-value = 1.322e-10
combineCN 74	W = 0.9915, p-value = 0.0001177
combineNC 80	W = 0.9889, p-value = 5.928e-11
combineNN 79	W = 0.995, p-value = 2.724e-08
