20 bell = 1e+06 tail = 328824 tail/bell = 0.328824
19 bell = 1e+06 tail = 128869 tail/bell = 0.128869
18 bell = 1e+06 tail = 76976 tail/bell = 0.076976
17 bell = 1e+06 tail = 43329 tail/bell = 0.043329
16 bell = 1e+06 tail = 20087 tail/bell = 0.020087
15 bell = 1e+06 tail = 1419 tail/bell = 0.001419
14 bell = 1e+06 tail = 2216 tail/bell = 0.002216
13 bell = 1e+06 tail = 25541 tail/bell = 0.025541
12 bell = 1e+06 tail = 40912 tail/bell = 0.040912
11 bell = 1e+06 tail = 12978 tail/bell = 0.012978
10 bell = 1e+06 tail = 3901 tail/bell = 0.003901
9 bell = 1e+06 tail = 39071 tail/bell = 0.039071
8 bell = 1e+06 tail = 71349 tail/bell = 0.071349
7 bell = 1e+06 tail = 285423 tail/bell = 0.285423
6 bell = 1e+06 tail = 198397 tail/bell = 0.198397
